Title,Budget,Cost,Date,Ex/In,Special,Type Expenses,Type In come
luong shopee,64361,"₫64,361",04/12/2024,In-come,,,Salary
xin mẹ tiền ăn,190000,"₫190,000",03/12/2024,In-come,,,Family
xin mẹ tiền tuần,147000,"₫147,000",17/11/2024,In-come,,,Family
xin mẹ tiền tuần,139000,"₫139,000",10/11/2024,In-come,,,Family
lời MFS,819000,"₫819,000",09/11/2024,In-come,,,Invest
xin mẹ tiền tuần,570000,"₫570,000",04/11/2024,In-come,,,Family
xin mẹ tiền tuần,505000,"₫505,000",27/10/2024,In-come,,,Family
xin mẹ tiền tuần,470000,"₫470,000",21/10/2024,In-come,,,Family
xin mẹ tiền xnagw,100000,"₫100,000",20/10/2024,In-come,,,Family
tiền võng,100000,"₫100,000",17/10/2024,In-come,,,Sell old things
DNSE,200000,"₫200,000",17/10/2024,In-come,,,Invest
xin mẹ tiền ăn,801000,"₫801,000",14/10/2024,In-come,,,Family
xin tiền mẹ đánh cầu,80000,"₫80,000",13/10/2024,In-come,,,Family
xin mẹ tiền ăn,470000,"₫470,000",06/10/2024,In-come,,,Family
mẹ cho tiền tuần,496000,"₫496,000",30/09/2024,In-come,,,Family
mẹ cho tiền đổ xăng,74000,"₫74,000",28/09/2024,In-come,,,Family
xin mẹ tiền tuần,350000,"₫350,000",24/09/2024,In-come,,,Family
xin tiền mẹ đi chơi,118000,"₫118,000",23/09/2024,In-come,,,Family
vay vốn sinh viên 2024,40000000,"₫40,000,000",16/09/2024,In-come,"BigY, Vay",,Cho vay
xin mẹ tiền tuần,400000,"₫400,000",10/09/2024,In-come,,,Family
xin tiền mẹ bida,101000,"₫101,000",06/09/2024,In-come,,,Family
dì chín cho tiền học,200000,"₫200,000",04/09/2024,In-come,,,Clan
xin mẹ tiền tuần,300000,"₫300,000",04/09/2024,In-come,,,Family
xin mẹ tiền đi chơi,400000,"₫400,000",04/09/2024,In-come,,,Family
xin mẹ tiền ăn,450000,"₫450,000",26/08/2024,In-come,,,Family
xin tiền mẹ đánh cầu,50000,"₫50,000",25/08/2024,In-come,,,Family
xin mẹ tiền đánh bida,50000,"₫50,000",23/08/2024,In-come,,,Family
xin mẹ tiền tuần ,353000,"₫353,000",20/08/2024,In-come,,,Family
xin mẹ tiền vé show ,200000,"₫200,000",20/08/2024,In-come,,,Family
xin tiền mẹ đi chơi,75000,"₫75,000",17/08/2024,In-come,,,Family
phát bao bida,15000,"₫15,000",17/08/2024,In-come,,,Anh em
lượm,20000,"₫20,000",14/08/2024,In-come,,,Luck
xin mẹ tiền tuần,406000,"₫406,000",12/08/2024,In-come,,,Family
dượng 3 + mợ 5 cho tiền,300000,"₫300,000",11/08/2024,In-come,,,Clan
ứng trước tiền tuần ,200000,"₫200,000",11/08/2024,In-come,,,Family
mẹ cho tiền chơi,15000,"₫15,000",11/08/2024,In-come,,,Family
xin mẹ tiền tuần,570000,"₫570,000",05/08/2024,In-come,,,Family
xin mẹ tiền đánh cầu,130000,"₫130,000",03/08/2024,In-come,,,Family
xin tiền mẹ đóng ktx,1500000,"₫1,500,000",26/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,385000,"₫385,000",25/07/2024,In-come,,,Family
mẹ cho tiền đi ctho,100000,"₫100,000",23/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,125000,"₫125,000",22/07/2024,In-come,,,Family
mẹ cho tiền ăn + tiền đóng ktx,300000,"₫300,000",15/07/2024,In-come,,,Family
xin mẹ tiền đi chơi,103000,"₫103,000",14/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,87000,"₫87,000",12/07/2024,In-come,,,Family
xin tiền trả xe để trả shopeee,250000,"₫250,000",08/07/2024,In-come,,,Family
mẹ cho tiền ăn + xin tiền trả xe để trả shopeee,380000,"₫380,000",08/07/2024,In-come,,,Family
xin tiền mẹ đi chơi,20000,"₫20,000",05/07/2024,In-come,,,Family
xin mẹ tiền tuần,350000,"₫350,000",01/07/2024,In-come,,,Family
mẹ cho tiền đi chơi ,100000,"₫100,000",30/06/2024,In-come,,,Family
xin tiền mẹ đánh bida + du,60000,"₫60,000",30/06/2024,In-come,,,Family
xin tiền mẹ mua đồ ăn,122000,"₫122,000",30/06/2024,In-come,,,Family
mẹ cho tiền đánh cầu,67000,"₫67,000",28/06/2024,In-come,,,Family
mẹ cho tiền ở nhà,210000,"₫210,000",24/06/2024,In-come,,,Family
mẹ hco tiền đánh cầu,50000,"₫50,000",16/06/2024,In-come,,,Family
học phí 1-III,3550000,"₫3,550,000",13/06/2024,In-come,BigY,,Family
mẹ cho tiền ăn snags,50000,"₫50,000",13/06/2024,In-come,,,Family
mẹ cho tiền chơi,220000,"₫220,000",12/06/2024,In-come,,,Family
xin mẹ tiền học phí bù tiền mua ram,500000,"₫500,000",10/06/2024,In-come,,,Family
mẹ cho tiền đi Hoà An,2012000,"₫2,012,000",26/05/2024,In-come,,,Family
mẹ cho tiền đánh cầu,270000,"₫270,000",19/05/2024,In-come,,,Family
mẹ cho tiền đánh cầu,30000,"₫30,000",18/05/2024,In-come,,,Family
mẹ cho tiền đi chơi vs kiên,34000,"₫34,000",16/05/2024,In-come,,,Family
Tổng lương shopee,733327,"₫733,327",15/05/2024,In-come,,,Salary
lụm cổng A,52000,"₫52,000",09/05/2024,In-come,,,Luck
mẹ cho tiền vốn chạy shopee,692000,"₫692,000",06/05/2024,In-come,,,Family
nội cho,200000,"₫200,000",06/05/2024,In-come,,,Clan
mẹ cho tiền đi học,230000,"₫230,000",04/05/2024,In-come,,,Family
mẹ cho tiền đánh cầu,50000,"₫50,000",01/05/2024,In-come,,,Family
mẹ cho tiền ,195000,"₫195,000",29/04/2024,In-come,,,Family
mẹ cho tiền qua ct,156000,"₫156,000",28/04/2024,In-come,,,Family
mẹ cho tiền hớt tóc,66000,"₫66,000",26/04/2024,In-come,,,Family
mẹ cho tiền tuần + mua đồ,526000,"₫526,000",22/04/2024,In-come,,,Family
mẹ cho tiền bida,150000,"₫150,000",20/04/2024,In-come,,,Family
tiền tuần + mua cafe,470000,"₫470,000",14/04/2024,In-come,,,Family
tiền đánh cầu,40000,"₫40,000",13/04/2024,In-come,,,Family
ăn t7 + điện,170000,"₫170,000",13/04/2024,In-come,,,Family
mẹ cho tiền tuần,560000,"₫560,000",08/04/2024,In-come,,,Family
mẹ cho tiền đánh cầu,150000,"₫150,000",07/04/2024,In-come,,,Family
ân bao ép ổi - sn,12000,"₫12,000",03/04/2024,In-come,,,Anh em
mẹ cho tiền tuần,450000,"₫450,000",01/04/2024,In-come,,,Family
mẹ cho tiền cầu lòn,81000,"₫81,000",30/03/2024,In-come,,,Family
mẹ cho tiền ăn,380000,"₫380,000",25/03/2024,In-come,,,Family
mẹ cho tiền đánh cầu,95000,"₫95,000",25/03/2024,In-come,,,Family
mẹ đưa dư tiền mua đồ,100000,"₫100,000",22/03/2024,In-come,,,Family
mẹ cho tiền tuần,450000,"₫450,000",18/03/2024,In-come,,,Family
tiền sư phạm 2023,13327000,"₫13,327,000",16/02/2023,In-come,"BigY, Vay",,Cho vay
mẹ cho tiền quánh cầu,60000,"₫60,000",15/03/2024,In-come,,,Family
tiền tuần,300000,"₫300,000",11/03/2024,In-come,,,Family
học phí 1-II,12250000,"₫12,250,000",11/03/2024,In-come,BigY,,Family
mẹ cho tiền quánh cầu,60000,"₫60,000",10/03/2024,In-come,,,Family
mẹ cho tiền t7,50000,"₫50,000",10/03/2024,In-come,,,Family
mẹ cho tiền tuần,350000,"₫350,000",03/03/2024,In-come,,,Family
mẹ cho ,100000,"₫100,000",02/03/2024,In-come,,,Family
mẹ cho tiền tuần,300000,"₫300,000",25/02/2024,In-come,,,Family
mẹ cho tiền đánh cầu,40000,"₫40,000",24/02/2024,In-come,,,Family
ba cho tiền đi học,63000,"₫63,000",19/02/2024,In-come,,,Family
mẹ cho,87000,"₫87,000",16/02/2024,In-come,,,Family
lương mộc cf,1750000,"₫1,750,000",16/02/2024,In-come,,,Salary
dợng 6 lì xì,50000,"₫50,000",14/02/2024,In-come,,,Clan
dượng 9 lì xì,250000,"₫250,000",14/02/2024,In-come,,,Clan
bà nội lì xì,100000,"₫100,000",14/02/2024,In-come,,,Clan
dì út lì xi,100000,"₫100,000",14/02/2024,In-come,,,Clan
mẹ lì xì,300000,"₫300,000",11/02/2024,In-come,,,Family
mẹ cho ,170000,"₫170,000",07/02/2024,In-come,,,Family
mẹ cho tiền tuần,370000,"₫370,000",28/01/2024,In-come,,,Family
mẹ cho tiền đánh cầu,30000,"₫30,000",28/01/2024,In-come,,,Family
mẹ cho tiền tuần,350000,"₫350,000",22/01/2024,In-come,,,Family
mẹ cho tiền đánh cầu,147000,"₫147,000",20/01/2024,In-come,,,Family
mẹ cho tiền đi an giang,350000,"₫350,000",15/01/2024,In-come,,,Family
mẹ cho tiền tuần,400000,"₫400,000",15/01/2024,In-come,,,Family
mẹ cho tiền,50000,"₫50,000",12/01/2024,In-come,,,Family
mẹ cho tiền ăn,400000,"₫400,000",08/01/2024,In-come,,,Family
mẹ cho,183000,"₫183,000",06/01/2024,In-come,,,Family
mẹ cho tiền ăn ,204000,"₫204,000",02/01/2024,In-come,,,Family
mẹ cho tiền đống tiền học,18100000,"₫18,100,000",29/08/2023,In-come,BigY,,Family
lương tháng 4,3768000,"₫3,768,000",27/04/2023,In-come,,,Salary
mẹ cho tiền tháng 4,3000000,"₫3,000,000",29/03/2023,In-come,,,Family
mẹ cho tiền tháng 3,2600000,"₫2,600,000",02/03/2023,In-come,,,Family
Lương giữ nhà + làm cho a sang,2423000,"₫2,423,000",28/05/2023,In-come,,,Salary
lương tháng mộc tháng 8,2244000,"₫2,244,000",06/09/2023,In-come,,,Salary
mẹ cho tiền tháng 1,2000000,"₫2,000,000",03/01/2023,In-come,,,Family
mẹ cho ,1765000,"₫1,765,000",25/11/2023,In-come,,,Family
mẹ cho tiền ăn,1650000,"₫1,650,000",17/09/2023,In-come,,,Family
Tổng shopee tháng 12,1556869,"₫1,556,869",30/12/2023,In-come,,,Salary
mẹ cho tiền tuần,1550000,"₫1,550,000",26/10/2023,In-come,,,Family
mẹ cho tiền tháng 2,1500000,"₫1,500,000",30/01/2023,In-come,,,Family
Mẹ cho tiền tháng 7,1392000,"₫1,392,000",30/07/2023,In-come,,,Family
lương,1340000,"₫1,340,000",27/01/2023,In-come,,,Salary
Mẹ cho tiền tháng 8,1336000,"₫1,336,000",29/08/2023,In-come,,,Family
mẹ cho tiền tháng 1,1300000,"₫1,300,000",01/01/2023,In-come,,,Family
lấy tiền nhà (tháng 9),1152000,"₫1,152,000",30/09/2023,In-come,,,Family
mẹ cho tiền đóng tiền KTX,1079000,"₫1,079,000",20/12/2023,In-come,,,Family
tiền dư,1006000,"₫1,006,000",01/02/2023,In-come,,,Family
TIỀN XIN MẸ TỪ LÚC VỀ QUÊ (tháng 6),926000,"₫926,000",01/06/2023,In-come,,,Family
"mẹ cho tiền vốn, trả kiên, ăn",906000,"₫906,000",25/12/2023,In-come,,,Family
mẹ cho tiền tuần,890000,"₫890,000",20/11/2023,In-come,,,Family
mẹ cho tiền vốn chạy xe,604000,"₫604,000",09/12/2023,In-come,,,Family
mẹ cho tiền thi đgnl,600000,"₫600,000",27/05/2023,In-come,,,Family
mẹ  cho tiền thi dgnl,500000,"₫500,000",06/02/2023,In-come,,,Family
mẹ cho tiền đóng nguyện vọng,500000,"₫500,000",25/04/2023,In-come,,,Family
mẹ cho tiền trả shopee,500000,"₫500,000",10/11/2023,In-come,,,Family
dượng chín cho tiền,500000,"₫500,000",02/03/2023,In-come,,,Clan
bán bàn & kệ,430000,"₫430,000",03/04/2023,In-come,,,Sell old things
mẹ cho tiền đóng tiền thể dục,428000,"₫428,000",01/10/2023,In-come,,,Family
mẹ cho,390000,"₫390,000",21/10/2023,In-come,,,Family
shopee,383523,"₫383,523",01/10/2023,In-come,,,Salary
TIỀN XIN MẸ TỪ LÚC VỀ QUÊ (tháng 5),321000,"₫321,000",31/05/2023,In-come,,,Family
tiền cầu đánh giải huyện,310000,"₫310,000",22/07/2023,In-come,,,Salary
lì xì (dì 6+ai đó),300000,"₫300,000",23/01/2023,In-come,,,Clan
tiền chạy tháng 11,293789,"₫293,789",10/11/2023,In-come,,,Salary
mẹ cho tiền nộp học bạ ,200000,"₫200,000",31/05/2023,In-come,,,Family
mẹ cho ,200000,"₫200,000",22/01/2023,In-come,,,Family
mẹ cho tiền đi chơi,200000,"₫200,000",21/01/2023,In-come,,,Family
ngoại lì xì,200000,"₫200,000",27/01/2023,In-come,,,Clan
mẹ cho tiền ăn,200000,"₫200,000",16/01/2023,In-come,,,Family
bà ngoại cho,200000,"₫200,000",29/03/2023,In-come,,,Clan
lì xì (dượng 3 + anh thưởng),200000,"₫200,000",22/01/2023,In-come,,,Clan
dượng chín lỳ xì,200000,"₫200,000",30/01/2023,In-come,,,Clan
shop,167277,"₫167,277",12/03/2023,In-come,,,Salary
shopee,163655,"₫163,655",17/02/2023,In-come,,,Salary
shopee,160433,"₫160,433",19/02/2023,In-come,,,Salary
mẹ cho tiền đi thi,150000,"₫150,000",03/12/2023,In-come,,,Family
shop 09-02,146400,"₫146,400",09/02/2023,In-come,,,Salary
shopee 11/02,137175,"₫137,175",11/02/2023,In-come,,,Salary
shop,135440,"₫135,440",21/03/2023,In-come,,,Salary
shop 13/01,131685,"₫131,685",13/02/2023,In-come,,,Salary
mẹ cho ,130000,"₫130,000",03/12/2023,In-come,,,Family
07/01,125356,"₫125,356",07/01/2023,In-come,,,Salary
shopee,123215,"₫123,215",04/03/2023,In-come,,,Salary
shopee,118878,"₫118,878",17/03/2023,In-come,,,Salary
06/01,113050,"₫113,050",06/01/2023,In-come,,,Salary
shopeee,112385,"₫112,385",19/03/2023,In-come,,,Salary
shopee,105825,"₫105,825",09/03/2023,In-come,,,Salary
mượn việt em: việt đền tiền gãy vợt,100000,"₫100,000",19/07/2023,In-come,,,Anh em
dì út cho tiền,100000,"₫100,000",15/11/2023,In-come,,,Clan
nội lì xì,100000,"₫100,000",27/01/2023,In-come,,,Clan
mẹ cho ,100000,"₫100,000",19/01/2023,In-come,,,Family
mẹ cho ,100000,"₫100,000",27/03/2023,In-come,,,Family
shopee 10/02,99444,"₫99,444",10/02/2023,In-come,,,Salary
shopee,99390,"₫99,390",03/01/2023,In-come,,,Salary
shop,92733,"₫92,733",24/02/2023,In-come,,,Salary
mẹ cho tiền ,90000,"₫90,000",01/03/2023,In-come,,,Family
shopeee,89902,"₫89,902",07/03/2023,In-come,,,Salary
shopee,86160,"₫86,160",08/01/2023,In-come,,,Salary
shop,85897,"₫85,897",23/02/2023,In-come,,,Salary
shopee,84860,"₫84,860",16/02/2023,In-come,,,Salary
shopee,83265,"₫83,265",14/02/2023,In-come,,,Salary
shopee,82725,"₫82,725",05/03/2023,In-come,,,Salary
shopee,75419,"₫75,419",20/03/2023,In-come,,,Salary
tiền dư mua kem cho mẹ,75000,"₫75,000",11/01/2023,In-come,,,Family
"tiền rửa xe,..",74000,"₫74,000",30/12/2023,In-come,,,Family
mẹ cho tiền cơm,70000,"₫70,000",15/01/2023,In-come,,,Family
mẹ cho chưa trả,70000,"₫70,000",25/01/2023,In-come,,,Family
shopee 02/02,64920,"₫64,920",02/02/2023,In-come,,,Salary
shopee,64900,"₫64,900",16/03/2023,In-come,,,Salary
shopee,61084,"₫61,084",03/03/2023,In-come,,,Salary
shopee,60678,"₫60,678",11/03/2023,In-come,,,Salary
phi béo trả tiền đổ xăng,56000,"₫56,000",19/08/2023,In-come,,,Anh em
shopee,54254,"₫54,254",14/03/2023,In-come,,,Salary
shoip7-2,54000,"₫54,000",07/02/2023,In-come,,,Salary
tiền mua cafe dư,53000,"₫53,000",28/02/2023,In-come,,,Family
mẹ cho,50000,"₫50,000",18/01/2023,In-come,,,Family
mẹ cho ,50000,"₫50,000",20/01/2023,In-come,,,Family
việt đưa tiền cầu,50000,"₫50,000",03/12/2023,In-come,,,Anh em
mẹ cho tiền đổ xăng,50000,"₫50,000",29/01/2023,In-come,,,Family
shopee,42403,"₫42,403",21/02/2023,In-come,,,Salary
bo,30590,"₫30,590",02/02/2023,In-come,,,Salary
hà trả tiền xe,30000,"₫30,000",30/04/2023,In-come,,,Anh em
mẹ cho,30000,"₫30,000",01/12/2023,In-come,,,Family
cha cho,25000,"₫25,000",17/01/2023,In-come,,,Family
tường em bao cơm,25000,"₫25,000",05/03/2023,In-come,,,Anh em
tiền mua kem dư,25000,"₫25,000",12/01/2023,In-come,,,Family
shope,24971,"₫24,971",23/03/2023,In-come,,,Salary
tường em,24000,"₫24,000",21/11/2023,In-come,,,Anh em
tường cho tiền xăng,23000,"₫23,000",03/01/2023,In-come,,,Anh em
tiền xăng về quê tường em,21000,"₫21,000",29/05/2023,In-come,,,Anh em
lý nước đệ thây bao,20000,"₫20,000",10/06/2023,In-come,,,Anh em
rửa xe,20000,"₫20,000",13/01/2023,In-come,,,Family
tiền nhà,20000,"₫20,000",12/01/2023,In-come,,,Family
tường em trả tiền xăng,20000,"₫20,000",23/03/2023,In-come,,,Anh em
mẹ cho,20000,"₫20,000",13/01/2023,In-come,,,Family
tiền bo quán mốc,17000,"₫17,000",24/08/2023,In-come,,,Salary
lấy tiền mua đồ đư,12000,"₫12,000",08/05/2023,In-come,,,Family
phúc trả tiền xăng,10176,"₫10,176",08/10/2023,In-come,,,Anh em
mẹ cho tiền ăn sáng,10000,"₫10,000",30/01/2023,In-come,,,Family
việt em bao nước,10000,"₫10,000",13/05/2023,In-come,,,Anh em
béo bao tiền cầu,10000,"₫10,000",05/08/2023,In-come,,,Anh em
học phí cyberSoft,18170122,"₫18,170,122",07/09/2022,In-come,BigY,,Family
mẹ cho,5020000,"₫5,020,000",25/09/2022,In-come,,,Family
mẹ cho,4000000,"₫4,000,000",10/10/2022,In-come,,,Family
mẹ cho tiềm trọ vs ăn tháng 12,3000000,"₫3,000,000",02/12/2022,In-come,,,Family
mẹ cho tiền tháng 11,2800000,"₫2,800,000",19/10/2022,In-come,,,Family
tiền lương tháng 11 quán cà phê đá,2143000,"₫2,143,000",05/12/2022,In-come,,,Salary
mẹ cho tiền thêm tháng 12,1179000,"₫1,179,000",16/12/2022,In-come,,,Family
bán giày,550000,"₫550,000",28/10/2022,In-come,,,Sell old things
mình xin tiền ăn đến cuối tháng,500000,"₫500,000",20/11/2022,In-come,,,Family
mẹ cho thêm tiền ăn tới cuối tháng,500000,"₫500,000",08/11/2022,In-come,,,Family
nội cho,500000,"₫500,000",08/11/2022,In-come,,,Family
bà nội cho,400000,"₫400,000",25/09/2022,In-come,,,Family
mẹ cho,340000,"₫340,000",09/10/2022,In-come,,,Family
Mẹ cho đi cắt kinh,327000,"₫327,000",16/10/2022,In-come,,,Family
mua trả tiền mua đồ,314000,"₫314,000",01/12/2022,In-come,,,Family
sách full,300000,"₫300,000",26/09/2022,In-come,,,Sell old things
văn trả tiền trọ,297000,"₫297,000",17/11/2022,In-come,,,Anh em
"Bán sách (3 cuốn sapi, thành phố thông minh)",275000,"₫275,000",26/09/2022,In-come,,,Sell old things
mẹ cho tiền ăn sáng với đổ xăng,200000,"₫200,000",02/12/2022,In-come,,,Family
rút tiền từ zalo,200000,"₫200,000",22/09/2022,In-come,,,Anh em
mẹ cho tiền tháng 11,200000,"₫200,000",19/10/2022,In-come,,,Family
27/12,136949,"₫136,949",27/12/2022,In-come,,,Salary
mẹ cho ,136000,"₫136,000",17/10/2022,In-come,,,Family
13/12,111710,"₫111,710",13/12/2022,In-come,,,Salary
tiền chạy shopee,105000,"₫105,000",06/12/2022,In-come,,,Salary
mẹ cho tiền đi đường,100000,"₫100,000",03/12/2022,In-come,,,Family
nhặt tiền dưới nhà gửi xe,100000,"₫100,000",21/11/2022,In-come,,,Luck
18/12,95768,"₫95,768",18/12/2022,In-come,,,Salary
3 quyển sách,80000,"₫80,000",26/09/2022,In-come,,,Sell old things
tiền chạy,74660,"₫74,660",08/12/2022,In-come,,,Salary
11/12,74364,"₫74,364",11/12/2022,In-come,,,Salary
26/12/2022,68696,"₫68,696",26/12/2022,In-come,,,Salary
18h30-20h40,66565,"₫66,565",09/12/2022,In-come,,,Salary
10/12,61160,"₫61,160",10/12/2022,In-come,,,Salary
5h30-8h30,58360,"₫58,360",19/12/2022,In-come,,,Salary
mẹ cho,50000,"₫50,000",09/10/2022,In-come,,,Family
xăng xe tay ga ở nhà,50000,"₫50,000",22/09/2022,In-come,,,Family
tiền đi khám NVQS,47000,"₫47,000",02/12/2022,In-come,,,Salary
23/12,40000,"₫40,000",23/12/2022,In-come,,,Salary
bo 26/12,40000,"₫40,000",26/12/2022,In-come,,,Salary
21/12,38405,"₫38,405",23/12/2022,In-come,,,Salary
tường bao cơm trả xăng,32000,"₫32,000",28/12/2022,In-come,,,Anh em
xin tiền mẹ mua viết,30000,"₫30,000",30/12/2022,In-come,,,Family
tường bao tiền cơm,25000,"₫25,000",02/10/2022,In-come,,,Anh em
 bo,22000,"₫22,000",19/12/2022,In-come,,,Salary
xăng,-30000,"₫30,000",07/09/2022,Expenses,,DC,
net như ý,-7000,"₫7,000",07/09/2022,Expenses,,Entertainment,
ổ điện,-130000,"₫130,000",07/09/2022,Expenses,,Utility,
xấy xu bắp xe fu2,-700000,"₫700,000",08/09/2022,Expenses,,DC,
tiền quà,-22000,"₫22,000",08/09/2022,Expenses,,RL,
cafe,-47000,"₫47,000",07/09/2022,Expenses,,Coffee,
xăng,-30000,"₫30,000",07/09/2022,Expenses,,DC,
nước cảm sn khang,-25000,"₫25,000",08/09/2022,Expenses,,RL,
đồ dùng trong nhà,-182500,"₫182,500",09/09/2022,Expenses,,Home,
cơm sườn bà mai,-20000,"₫20,000",09/09/2022,Expenses,,AC,
xăng,-30000,"₫30,000",09/09/2022,Expenses,,DC,
sân cầu lông,-8000,"₫8,000",09/09/2022,Expenses,,Badmintion,
hủ tiếu gầm cầu,-15000,"₫15,000",09/09/2022,Expenses,,AC,
viết mực xanh,-30000,"₫30,000",09/09/2022,Expenses,,Study,
xăng đi sg,-100000,"₫100,000",10/09/2022,Expenses,,DC,
nồi cơm điện,-126750,"₫126,750",10/09/2022,Expenses,,Home,
thùng nước lọc lần đầu,-12500,"₫12,500",10/09/2022,Expenses,,AC,
Hủ tiếu gõ,-20000,"₫20,000",10/09/2022,Expenses,,AC,
trái cây + bánh mì,-14000,"₫14,000",10/09/2022,Expenses,,AV,
ăn cơm sáng,-25000,"₫25,000",10/09/2022,Expenses,,AC,
gửi xe Big C,-1000,"₫1,000",03/11/2022,Expenses,,Utility,
tiền chợ,-50000,"₫50,000",03/11/2022,Expenses,,AC,
miếng dán bàn phím,-10000,"₫10,000",02/11/2022,Expenses,,Entertainment,
xăng,-50000,"₫50,000",02/11/2022,Expenses,,DC,
card điện thoại,-10000,"₫10,000",02/11/2022,Expenses,,Utility,
gửi xe cyber,-5000,"₫5,000",02/11/2022,Expenses,,Study,
cafe đường sư vạn hạnh với tường,-29000,"₫29,000",02/11/2022,Expenses,,RL,
gữi xe cầu lông,-6000,"₫6,000",01/11/2022,Expenses,,Badmintion,
tiền nhà tháng 11,-1306000,"₫1,306,000",01/11/2022,Expenses,Monthly,Home,
sữa TH k đường,-37000,"₫37,000",31/10/2022,Expenses,,AC,
tiền chợ,-50000,"₫50,000",31/10/2022,Expenses,,AC,
nước lọc lavi 6lít,-25000,"₫25,000",31/10/2022,Expenses,,AC,
thịt heo,-41000,"₫41,000",31/10/2022,Expenses,,AC,
cà chua,-18000,"₫18,000",31/10/2022,Expenses,,AC,
cafe lupis với đám thảo,-25000,"₫25,000",30/10/2022,Expenses,,RL,
gửi xe cyber,-5000,"₫5,000",30/10/2022,Expenses,,Study,
khăn giấy hỉ mũi,-7000,"₫7,000",30/10/2022,Expenses,,Utility,
hủ tiếu IUH,-20000,"₫20,000",29/10/2022,Expenses,,AC,
gửi xe đi khai giảng,-5000,"₫5,000",29/10/2022,Expenses,,RL,
thùng nước,-7000,"₫7,000",29/10/2022,Expenses,,AC,
tiền nước,-5000,"₫5,000",28/10/2022,Expenses,,AC,
ức gà + trứng,-84019,"₫84,019",28/10/2022,Expenses,,AC,
gửi xe lê thị riêng,-5000,"₫5,000",28/10/2022,Expenses,,AC,
xăng,-75000,"₫75,000",28/10/2022,Expenses,,DC,
gửi xe sư phạm,-2000,"₫2,000",28/10/2022,Expenses,,Study,
giáo trình xác xuất thống kê,-40000,"₫40,000",27/10/2022,Expenses,,Study,
gửi xe sư phạm,-2000,"₫2,000",27/10/2022,Expenses,,Study,
tiền nước,-10000,"₫10,000",27/10/2022,Expenses,,AC,
gửi xe sư phạm,-2000,"₫2,000",26/10/2022,Expenses,,Study,
đồ ăn,-111000,"₫111,000",26/10/2022,Expenses,,AC,
Gói iCloud+,-19000,"₫19,000",26/10/2022,Expenses,Monthly,Utility,
gửi xe big c,-5000,"₫5,000",26/10/2022,Expenses,,AC,
tiền cầu lông tháng 11,-300000,"₫300,000",25/10/2022,Expenses,BigM,Badmintion,
gửi xe sân cầu,-6000,"₫6,000",25/10/2022,Expenses,,Badmintion,
tiền nước,-5000,"₫5,000",24/10/2022,Expenses,,AC,
giày đánh cầu lông,-127000,"₫127,000",24/10/2022,Expenses,,Badmintion,
gửi xe sân cầu lông,-5000,"₫5,000",23/10/2022,Expenses,,Badmintion,
gửi xe sư phạm chủ nhật,-3000,"₫3,000",23/10/2022,Expenses,,Study,
tiền đồ ăn luân mua,-10000,"₫10,000",23/10/2022,Expenses,,AC,
tiền thùng nước,-5000,"₫5,000",23/10/2022,Expenses,,AC,
đồ ăn trong siêu thị,-108000,"₫108,000",22/10/2022,Expenses,,AC,
tiền chợ,-5000,"₫5,000",21/10/2022,Expenses,,AC,
đổ xăng,-30000,"₫30,000",20/10/2022,Expenses,,DC,
khổ trang,-59000,"₫59,000",20/10/2022,Expenses,,Utility,
gửi xe khám sức khỏe,-5000,"₫5,000",20/10/2022,Expenses,,Study,
gửi xe sư phạm,-2000,"₫2,000",20/10/2022,Expenses,,Study,
gửi xe đánh cầu lông,-5000,"₫5,000",20/10/2022,Expenses,,Badmintion,
gửi xe đánh cầu,-2000,"₫2,000",19/10/2022,Expenses,,Badmintion,
sửa xe,-30000,"₫30,000",19/10/2022,Expenses,,Accident,
nước suối,-8000,"₫8,000",19/10/2022,Expenses,,Utility,
hủ tiếu,-20000,"₫20,000",19/10/2022,Expenses,,AC,
xăng,-65000,"₫65,000",19/10/2022,Expenses,,DC,
tiền chợ,-20000,"₫20,000",19/10/2022,Expenses,,AC,
cầu lông,-60000,"₫60,000",19/10/2022,Expenses,,Badmintion,
nước nhỏ măt,-53000,"₫53,000",18/10/2022,Expenses,,Body,
xăng nhà,-30000,"₫30,000",18/10/2022,Expenses,,DC,
photo hồ sơ,-2000,"₫2,000",18/10/2022,Expenses,,Study,
nước suối,-5000,"₫5,000",17/10/2022,Expenses,,Utility,
lăng nách,-55000,"₫55,000",17/10/2022,Expenses,,Utility,
hủ tiếu ăn sáng,-20000,"₫20,000",17/10/2022,Expenses,,AC,
cafe bảo minh,-50000,"₫50,000",17/10/2022,Expenses,,Coffee,
phin cafe,-21000,"₫21,000",17/10/2022,Expenses,,Coffee,
photo thầy hùng,-1000,"₫1,000",17/10/2022,Expenses,,Study,
xăng,-30000,"₫30,000",16/10/2022,Expenses,,DC,
cơm sườn nha mân,-27000,"₫27,000",16/10/2022,Expenses,,AC,
21G 4G,-59000,"₫59,000",16/10/2022,Expenses,,Utility,
Công an Phạt,-150000,"₫150,000",16/10/2022,Expenses,,Accident,
xăng nhà,-30000,"₫30,000",16/10/2022,Expenses,,DC,
kính cận,-507500,"₫507,500",16/10/2022,Expenses,BigM,Body,
